Water demand,System deficit,Junctin 1 deficit,Junction 2 deficit,Junction 3 deficit,Junction 5 deficit,Junction 6 deficit,Junction 7 deficit,Junction 8 deficit,Junction 9 deficit,Junction 10 deficit,Junction 13 deficit,Junction 14 deficit,Junction 15 deficit,Junction 16 deficit,Junction 18 deficit,Junction 19 deficit,Junction 28 deficit
0.97310881,66692.44421,0.00040178,5.89E-05,0,0.000155842,0,0,0,0,0,0,0.00011787,39595.79748,0.00046641,4488.406272,22608.23698,0.00227629
0.978331904,67316.61158,0,0,0,0,0,0.000438742,0.000710896,2.83E-05,0,0,0,39808.32517,0.000155681,4778.699948,22729.58513,0
0.983554998,67940.78562,0.000476336,0.000116035,0,0,0,0.000294472,0,0.000216949,0.000740565,0,0.000232071,40020.85287,0,5068.993623,22850.93327,0.003785082
0.988778092,68564.95771,2.53E-05,0,0,0.000377396,0,0.000150203,0.000888183,0.000405596,0.000408385,0.00164313,0,40233.38056,0,5359.291205,22972.28141,0.000633228
0.994001186,69189.12613,0,0.000173136,0.000918155,0,0,5.93E-06,2.64E-07,0.000594243,7.62E-05,0.00112304,0.000346272,40445.90826,0.000200058,5649.584881,23093.62955,0
0.99922428,69813.29685,9.99E-05,0,0.000817525,0.000199578,0,0,0,0.00078289,0,0.00060295,0,40658.43595,0,5939.878556,23214.9777,0.00214202
1.004447374,70437.46436,0,0.000230236,0.000716895,0,0,0,0.000177551,0.000971537,0,8.29E-05,0.000460473,40870.96365,0,6230.172232,23336.32584,0
1.009670468,71061.63689,0.000174446,0,0.000616265,2.18E-05,0.000953626,0,0,0,0,0,0,41083.49134,0.000244435,6520.465907,23457.67398,0.003650812
1.014893562,71685.80532,0,0.000287337,0.000515635,0.000421131,0.000818084,0.000405415,0.000354838,0,0.00070061,0,0.000574674,41296.01904,0,6810.759583,23579.02213,0.000498958
1.020116656,72309.97614,0.000249003,0,0.000415005,0,0.000682542,0.000261145,0,0,0.00036843,0,0,41508.54673,0,7101.057165,23700.37027,0
1.02533975,72934.15071,0,0.000344437,0.000314375,0.000243312,0.000547,0.000116875,0.000532125,0,3.62E-05,0.00190875,0.000688875,41721.07443,0.000288812,7391.350841,23821.71841,0.00200775
1.030562844,73558.31553,0.000323559,0,0.000213745,0,0.000411458,0,0,0,0,0.00138866,0,41933.60212,0,7681.644516,23943.06655,0
1.035785938,74182.48961,0,0.000401538,0.000113115,6.55E-05,0.000275916,0,0.000709412,0.000150294,0,0.00086857,0.000803076,42146.12982,0,7971.938192,24064.4147,0.003516542
1.041009032,74806.65462,0.000398116,0,1.25E-05,0.000464866,0.000140374,0,0,0.000338941,0,0.00034848,0,42358.65751,0.000333189,8262.231867,24185.76284,0.000364688
1.046232126,75430.82912,0,0.000458638,0,0,4.83E-06,0,0.000886699,0.000527588,0.000660655,0,0.000917277,42571.18521,2.25E-05,8552.529449,24307.11098,0
1.05145522,76054.99883,0.000472672,0,0,0.000287047,0,0,0,0.000716235,0.000328475,0,0,42783.7129,0,8842.823125,24428.45913,0.00187348
1.056678314,76679.16597,2.17E-05,0,0,0,0,0,0,0.000904882,0,0,0,42996.2406,0.000377566,9133.1168,24549.80727,0
1.061901408,77303.33808,0,5.60E-05,0,0.000109229,0,0,0.000176067,0,0,0,0.000112016,43208.76829,6.68E-05,9423.410476,24671.15541,0.003382272
1.067124502,77927.50659,9.62E-05,0,0,0,0,0.00091584,0,0,0,0.00165428,0,43421.29599,0,9713.704151,24792.50356,0.000230418
1.072347596,78551.67718,0,0.000113108,0,0,0,0.00077157,0.000353354,0,0.00095288,0.00113419,0.000226217,43633.82368,0.000421943,10003.99783,24913.8517,0
1.07757069,79175.85084,0.000170782,0,0,0.000330782,0,0.0006273,0,0,0.0006207,0.0006141,0,43846.35138,0.000111215,10294.29541,25035.19984,0.00173921
1.082793784,79800.01805,0,0.000170209,0,0,0,0.00048303,0.000530641,0,0.00028852,9.40E-05,0.000340418,44058.87907,0,10584.58908,25156.54798,0
1.088016878,80424.19106,0.000245339,0,0,0.000152964,0.000873621,0.00033876,0,8.36E-05,0,0,0,44271.40677,0.00046632,10874.88276,25277.89613,0.003248002
1.093239972,81048.35897,0,0.000227309,0.00095931,0,0.000738079,0.00019449,0.000707928,0.000272286,0,0,0.000454619,44483.93446,0.000155592,11165.17644,25399.24427,9.61E-05
1.098463066,81672.52697,0.000319895,0,0.00085868,0,0.000602537,5.02E-05,0,0.000460933,0,0,0,44696.46216,0,11455.47011,25520.59241,0
1.10368616,82296.70262,0,0.00028441,0.00075805,0.000374517,0.000466995,0,0.000885215,0.00064958,0.000912925,0.0019199,0.00056882,44908.98985,0,11745.76379,25641.94056,0.00160494
1.108909254,82920.86811,0.000394452,0,0.00065742,0,0.000331453,0,0,0.000838227,0.000580745,0.00139981,0,45121.51755,0.000199969,12036.05746,25763.2887,0
1.114132348,83545.04334,0,0.00034151,0.00055679,0.000196699,0.000195911,0,0,0,0.000248565,0.00087972,0.000683021,45334.04524,0,12326.35504,25884.63684,0.003113732
1.119355442,84169.20816,0.000469008,0,0.00045616,0,6.04E-05,0,0.000174583,0,0,0.00035963,0,45546.57294,0,12616.64872,26005.98498,0
1.124578536,84793.37798,1.80E-05,0.000398611,0.00035553,1.89E-05,0,0,0,0,0,0,0.000797222,45759.10063,0.000244346,12906.9424,26127.33313,0
1.12980163,85417.54816,0,0,0.0002549,0.000418252,0,0,0.00035187,0,0,0,0,45971.62832,0,13197.23607,26248.68127,0.00147067
1.135024724,86041.71767,9.26E-05,0.000455711,0.00015427,0,0,0,0,0,0.00087297,0,0.000911423,46184.15602,0,13487.52975,26370.02941,0
1.140247818,86665.89019,0,0,5.36E-05,0.000240434,0,0.000849185,0.000529157,1.70E-05,0.00054079,0,0,46396.68371,0.000288723,13777.82342,26491.37756,0.002979462
1.145470912,87290.06106,0.000167119,0,0,0,0,0.000704915,0,0.000205631,0.00020861,0.00166543,0,46609.21141,0,14068.121,26612.7257,0
1.150694006,87914.23065,0,5.31E-05,0,6.26E-05,0,0.000560645,0.000706444,0.000394278,0,0.00114534,0.000106162,46821.7391,0,14358.41468,26734.07384,0
1.1559171,88538.40114,0.000241675,0,0,0.000461987,0,0.000416375,0,0.000582925,0,0.00062525,0,47034.2668,0.0003331,14648.70836,26855.42198,0.0013364
1.161140194,89162.56997,0,0.000110181,0,0,0.000929158,0.000272105,0.000883731,0.000771572,0,0.00010516,0.000220363,47246.79449,2.24E-05,14939.00203,26976.77013,0
1.166363288,89786.74233,0.000316231,0,0,0.000284169,0.000793616,0.000127835,0,0.000960219,0.000833015,0,0,47459.32219,0,15229.29571,27098.11827,0.002845192
1.171586382,90410.91162,0,0.000167282,0,0,0.000658074,0,0,0,0.000500835,0,0.000334564,47671.84988,0.000377477,15519.59329,27219.46641,0
1.176809476,91035.08053,0.000390788,0,0,0.00010635,0.000522532,0,0.000173099,0,0.000168655,0,0,47884.37758,6.67E-05,15809.88696,27340.81456,0
1.18203257,91659.2528,0,0.000224382,0,0,0.00038699,0,0,0,0,0.00193105,0.000448765,48096.90527,0,16100.18064,27462.1627,0.00120213
1.187255664,92283.42056,0,0,0,0,0.000251448,0,0.000350386,0,0,0.00141096,0,48309.43297,0.000421854,16390.47432,27583.51084,0
1.192478758,92907.59264,0,0.000281483,0,0.000327904,0.000115906,0,0,0,0,0.00089087,0.000562966,48521.96066,0.000111125,16680.76799,27704.85898,0.002710922
1.197701852,93531.76042,0.000539901,0,0.000899835,0,0,0,0.000527673,0.000138976,0.00079306,0.00037078,0,48734.48836,0,16971.06167,27826.20713,0
